model,throughput_tot (tok/sec),throughput_gen (tok/sec),tp,requests,input_len,output_len,dtype
Mistral-7B-Instruct-v0.3,18459,9229,2,4000,128,128,float16
Mistral-7B-Instruct-v0.3,5730,5393,2,3000,128,2048,float16
Mistral-7B-Instruct-v0.3,7361,3680,2,1500,2048,2048,float16
